spec	modelNum	modelTime	modelMem	sign	testtuple	pass	askTime	askMem	numProvs	maxTreeDepth	maxNumAlphas	maxHighlight	info
CD2Alloy2.als	1	76042033	364504416	false	get(unused22->of$0->unused29)	true	316624	173751424	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused22->worksIn$0->EnumVal$0)	true	52175218	179089808	1	5	3	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused24->worksIn$0->EnumVal$0)	true	44317302	187161888	1	5	3	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused26->worksIn$0->unused6)	true	392991	187161888	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused25->of$0->unused25)	true	154992	187161888	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused28->worksIn$0->unused3)	true	336494	187161888	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused22->of$0->unused8)	true	287501	187161888	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused28->of$0->unused26)	true	276931	187163976	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused25->of$0->unused13)	true	271416	187163976	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused27->worksIn$0->unused29)	true	281922	187163976	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused25->worksIn$0->Manager$0)	true	44099677	195202576	1	5	3	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(Manager$0->of$0->unused4)	true	19964508	200605232	2	6	2	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused28->worksIn$0->unused5)	true	502367	200609416	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused24->of$0->unused18)	true	372440	200609416	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	this/Val(unused12)	true	347615	200609416	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused22->worksIn$0->Address$0)	true	50117490	208635416	1	5	3	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused25->of$0->unused22)	true	404820	208637520	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused28->of$0->unused2)	true	302083	208637520	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(Manager$0->of$0->unused9)	true	19871570	216658688	2	6	2	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused29->worksIn$0->unused22)	true	496081	216658688	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused29->of$0->unused12)	true	315623	216658688	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused22->of$0->unused24)	true	292918	216660776	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused25->worksIn$0->unused28)	true	270385	216660776	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused23->worksIn$0->unused19)	true	263270	216660776	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused25->worksIn$0->EnumVal$0)	true	52181115	222002080	1	5	3	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused26->worksIn$0->unused3)	true	507251	222002080	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused22->of$0->unused4)	true	313735	224671288	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused23->of$0->unused27)	true	366633	224673472	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	this/Employee(unused27)	true	95513100	267787672	1	7	1	20	-
CD2Alloy2.als	1	76042033	364504416	false	get(Address$0->of$0->unused22)	true	19668916	273126128	2	6	2	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(Address$0->of$0->unused13)	true	19741159	277418496	2	6	2	42	-
CD2Alloy2.als	1	76042033	364504416	false	this/EnumVal(unused3)	true	365373	149340408	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	this/Employee(Address$0)	true	76562212	191044272	1	7	1	20	-
CD2Alloy2.als	1	76042033	364504416	false	this/Address(unused22)	true	27821307	209289208	1	7	1	40	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused28->of$0->unused4)	true	390792	209289208	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(Manager$0->of$0->unused20)	true	15804998	217082968	2	6	2	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused24->of$0->unused12)	true	444931	217082968	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused23->of$0->Address$0)	true	52030130	224877952	1	5	3	42	-
CD2Alloy2.als	1	76042033	364504416	false	this/Val(unused14)	true	364941	224877952	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused27->of$0->unused27)	true	257604	224877952	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	this/Employee(unused22)	true	76715466	269102208	1	7	1	20	-
CD2Alloy2.als	1	76042033	364504416	false	this/Address(unused26)	true	27717065	273625600	1	7	1	40	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused28->of$0->unused15)	true	499812	156753480	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused23->of$0->unused19)	true	342541	156753480	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(Address$0->of$0->unused26)	true	19408292	164321872	2	6	2	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused27->worksIn$0->unused8)	true	375141	164321872	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused26->of$0->unused14)	true	353437	164321872	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(Manager$0->of$0->unused29)	true	15773488	169405112	2	6	2	42	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused27->worksIn$0->unused15)	true	365748	169405112	0	0	0	0	-
CD2Alloy2.als	1	76042033	364504416	false	get(unused22->of$0->unused26)	true	361519	171927200	0	0	0	0	-
CD2Alloy2.als	2	3195140	171927200	true	this/Employee(Employee$0)	true	263284251	269967888	2	12	19	38	-
CD2Alloy2.als	2	3195140	171927200	true	this/of(of$0)	true	609923	169336904	0	0	0	0	-
